IFA-100 Fiber Index Profiler Version 8.0 Build 20 Output file
Data acquired on Oct 07, 2015  2:20 PM
IFA-100 Serial Number 02280  Data filename: 6AW0058_10TH OCT.txt
Fiber Rotation Angle = 0deg Frame rate = 18.6 Axial position = 0 microns
Microns per pixel = 0.153 Axial zone height = 80 microns
Frame size = 1384 horizontal pixels
Lambda cal = -0.034214         3.5741        -139.71         2447.8
Center Offset = 0.0 microns and Selected Fiber Diameter = 125 microns
Refractive index units are delta-n
radius (um)	633
1.2234	0.00458723	
1.3763	0.00458008	
1.5292	0.00457479	
1.6821	0.0045777	
1.835	0.00457935	
1.988	0.00456934	
2.1409	0.00454307	
2.2938	0.00450667	
2.4467	0.00446916	
2.5996	0.00443642	
2.7526	0.00440369	
2.9055	0.0043559	
3.0584	0.00427692	
3.2113	0.00415918	
3.3642	0.00400414	
3.5172	0.00380944	
3.6701	0.00356026	
3.823	0.00323129	
3.9759	0.00280115	
4.1288	0.00227037	
4.2818	0.00167255	
4.4347	0.00107139	
4.5876	0.000538257	
4.7405	0.000126906	
4.8934	-0.000145146	
5.0464	-0.000295991	
5.1993	-0.00036706	
5.3522	-0.00040258	
5.5051	-0.000432856	
5.658	-0.000466991	
5.811	-0.000500641	
5.9639	-0.00052741	
6.1168	-0.000546786	
6.2697	-0.000560394	
6.4226	-0.000570955	
6.5756	-0.000580079	
6.7285	-0.00059032	
6.8814	-0.000601956	
7.0343	-0.000613751	
7.1872	-0.000624148	
7.3402	-0.000633136	
7.4931	-0.00064109	
7.646	-0.000648537	
7.7989	-0.000654979	
7.9518	-0.000661239	
8.1048	-0.000667894	
8.2577	-0.000676345	
8.4106	-0.000686187	
8.5635	-0.000696671	
8.7164	-0.000706028	
8.8694	-0.000713004	
9.0223	-0.000716665	
9.1752	-0.000718598	
9.3281	-0.000720735	
9.481	-0.000723999	
9.634	-0.000727113	
9.7869	-0.000729506	
9.9398	-0.000731721	
10.093	-0.000734312	
10.246	-0.000736696	
10.399	-0.000738967	
10.551	-0.000741257	
10.704	-0.000744153	
10.857	-0.000746515	
11.01	-0.000748015	
11.163	-0.000748497	
11.316	-0.000748311	
11.469	-0.000747627	
11.622	-0.000746722	
11.775	-0.000746372	
